timestamp,lemon_id,diameter_cm,confidence
2024-01-15 06:00,9,0.41,0.899
2024-01-15 06:00,22,0.4,0.979
2024-01-15 06:30,5,0.4,0.966
2024-01-15 06:30,7,0.416,0.899
2024-01-15 06:30,10,0.4,0.332
2024-01-15 06:30,15,0.65,0.958
2024-01-15 06:30,17,0.695,0.983
2024-01-15 06:30,18,0.4,0.973
2024-01-15 07:00,1,0.4,0.968
2024-01-15 07:00,3,0.4,0.877
2024-01-15 07:00,10,0.4,0.948
2024-01-15 07:00,13,0.4,0.902
2024-01-15 07:00,21,0.4,0.978
2024-01-15 07:00,22,0.828,0.979
2024-01-15 07:30,4,0.4,0.958
2024-01-15 07:30,21,0.4,0.939
2024-01-15 07:30,22,0.526,0.94
2024-01-15 08:00,5,0.4,0.941
2024-01-15 08:00,7,0.478,0.977
2024-01-15 08:00,11,0.4,0.946
2024-01-15 08:00,15,0.614,0.601
2024-01-15 08:00,16,0.4,0.911
2024-01-15 08:00,22,0.501,0.928
2024-01-15 08:30,8,0.58,0.969
2024-01-15 08:30,14,0.7,0.967
2024-01-15 08:30,14,0.795,0.94
2024-01-15 08:30,18,0.621,0.991
2024-01-15 08:30,22,0.4,0.912
2024-01-15 08:30,22,0.522,0.952
2024-01-15 09:00,2,0.43,0.935
2024-01-15 09:00,14,0.648,0.978
2024-01-15 09:00,18,0.784,0.972
2024-01-15 09:00,21,0.4,0.975
2024-01-15 09:30,5,0.4,0.925
2024-01-15 09:30,6,0.453,0.661
2024-01-15 09:30,8,0.672,0.975
2024-01-15 10:00,1,0.4,0.664
2024-01-15 10:00,1,0.4,0.965
2024-01-15 10:00,6,0.879,0.922
2024-01-15 10:00,13,0.4,0.946
2024-01-15 10:00,14,0.571,0.984
2024-01-15 10:00,16,0.4,0.982
2024-01-15 10:30,11,0.448,0.947
2024-01-15 10:30,13,0.4,0.985
2024-01-15 10:30,17,0.719,0.91
2024-01-15 10:30,20,0.498,0.97
2024-01-15 10:30,23,0.4,0.937
2024-01-15 10:30,24,0.421,0.934
2024-01-15 11:00,8,0.456,0.922
2024-01-15 11:00,9,0.597,0.936
2024-01-15 11:00,11,0.442,0.9
2024-01-15 11:00,17,0.694,0.971
2024-01-15 11:30,2,0.597,0.958
2024-01-15 11:30,5,0.4,0.924
2024-01-15 11:30,5,0.4,0.971
2024-01-15 11:30,6,0.583,0.959
2024-01-15 11:30,13,0.4,0.952
2024-01-15 11:30,14,0.799,0.954
2024-01-15 11:30,18,0.791,0.953
2024-01-15 11:30,23,0.4,0.992
2024-01-15 11:30,24,0.422,0.984
2024-01-15 12:00,3,0.4,0.953
2024-01-15 12:00,7,0.666,0.965
2024-01-15 12:00,8,0.4,0.974
2024-01-15 12:00,9,0.4,0.912
2024-01-15 12:30,3,0.4,0.944
2024-01-15 12:30,7,0.4,0.957
2024-01-15 12:30,10,0.4,0.964
2024-01-15 12:30,16,0.4,0.384
2024-01-15 12:30,18,0.792,0.957
2024-01-15 13:00,3,0.4,0.907
2024-01-15 13:00,8,0.445,0.951
2024-01-15 13:30,3,0.4,0.908
2024-01-15 13:30,8,0.463,0.962
2024-01-15 13:30,11,0.4,0.936
2024-01-15 13:30,12,0.84,0.992
2024-01-15 13:30,15,0.542,0.976
2024-01-15 13:30,17,0.786,0.986
2024-01-15 13:30,21,0.4,0.944
2024-01-15 14:00,4,0.4,0.948
2024-01-15 14:00,5,0.4,0.36
2024-01-15 14:00,7,0.4,0.951
2024-01-15 14:00,8,0.4,0.96
2024-01-15 14:00,11,0.4,0.881
2024-01-15 14:00,13,0.4,0.941
2024-01-15 14:00,14,1.017,0.37
2024-01-15 14:00,24,0.468,0.933
2024-01-15 14:30,6,0.462,0.923
2024-01-15 14:30,15,0.592,0.941
2024-01-15 14:30,19,0.4,0.894
2024-01-15 14:30,21,0.4,0.668
2024-01-15 15:00,10,0.4,0.956
2024-01-15 15:00,12,0.689,0.979
2024-01-15 15:00,15,0.745,0.972
2024-01-15 15:00,20,0.556,0.945
2024-01-15 15:00,21,0.4,0.988
2024-01-15 15:00,24,0.4,0.925
2024-01-15 15:30,1,0.4,0.488
2024-01-15 15:30,3,0.4,0.983
2024-01-15 15:30,5,0.4,0.957
2024-01-15 15:30,13,0.4,0.97
2024-01-15 16:00,12,0.558,0.959
2024-01-15 16:00,18,0.689,0.874
2024-01-15 16:00,18,0.583,0.989
2024-01-15 16:00,19,0.451,0.925
2024-01-15 16:00,22,0.457,0.968
2024-01-15 16:30,4,0.4,0.96
2024-01-15 16:30,7,0.4,0.981
2024-01-15 16:30,13,0.4,0.927
2024-01-15 16:30,15,0.639,0.964
2024-01-15 16:30,17,0.705,0.951
2024-01-15 16:30,24,0.522,0.986
2024-01-15 17:00,4,0.4,0.991
2024-01-15 17:00,6,0.44,0.951
2024-01-15 17:00,10,0.4,0.972
2024-01-15 17:00,11,0.4,0.947
2024-01-15 17:00,23,0.4,0.962
2024-01-15 17:30,3,0.4,0.973
2024-01-15 17:30,4,0.4,0.947
2024-01-15 17:30,12,0.757,0.957
2024-01-15 17:30,19,0.527,0.952
2024-01-15 17:30,23,0.4,0.97
2024-01-15 18:00,2,0.675,0.956
2024-01-15 18:00,2,0.974,0.97
2024-01-15 18:00,8,0.547,0.954
2024-01-15 18:00,9,0.97,0.897
2024-01-15 18:00,16,0.4,0.987
2024-01-15 18:00,20,0.568,0.904
2024-01-15 18:00,23,0.4,0.919
2024-01-15 18:00,24,0.4,0.952
2024-01-15 18:30,2,0.797,0.964
2024-01-15 18:30,14,0.639,0.97
2024-01-15 18:30,18,0.4,0.997
2024-01-15 18:30,19,0.501,0.919
2024-01-15 18:30,22,0.81,0.957
2024-01-15 19:00,2,0.783,0.963
2024-01-15 19:00,6,0.65,0.97
2024-01-15 19:00,10,0.4,0.963
2024-01-15 19:00,11,0.452,0.967
2024-01-15 19:00,15,0.629,0.943
2024-01-15 19:00,20,0.607,0.974
2024-01-15 19:00,21,0.4,0.879
2024-01-15 19:30,4,0.51,0.466
2024-01-15 19:30,5,0.42,0.967
2024-01-15 19:30,6,0.514,0.981
2024-01-15 19:30,20,0.4,0.944
2024-01-15 19:30,21,0.4,0.971
2024-01-15 19:30,23,0.4,0.9
2024-01-16 06:00,2,0.664,0.981
2024-01-16 06:00,16,0.4,0.948
2024-01-16 06:00,17,0.681,0.963
2024-01-16 06:00,20,0.615,0.978
2024-01-16 06:00,22,0.779,0.949
2024-01-16 06:00,23,0.4,0.934
2024-01-16 06:30,1,0.4,0.928
2024-01-16 06:30,2,1.03,0.993
2024-01-16 06:30,10,0.4,0.954
2024-01-16 06:30,13,0.4,0.885
2024-01-16 06:30,20,0.4,0.943
2024-01-16 06:30,21,0.4,0.936
2024-01-16 06:30,23,0.4,0.955
2024-01-16 06:30,24,0.4,0.978
2024-01-16 07:00,5,0.4,0.985
2024-01-16 07:00,24,0.4,0.945
2024-01-16 07:30,8,0.838,0.89
2024-01-16 07:30,10,0.4,0.991
2024-01-16 07:30,18,0.671,0.904
2024-01-16 07:30,20,0.637,0.938
2024-01-16 07:30,20,0.692,0.962
2024-01-16 08:00,3,0.4,0.311
2024-01-16 08:00,11,0.4,0.948
2024-01-16 08:30,3,0.4,0.852
2024-01-16 08:30,5,0.4,0.981
2024-01-16 08:30,8,0.521,0.961
2024-01-16 08:30,15,0.795,0.304
2024-01-16 08:30,19,0.4,0.938
2024-01-16 08:30,24,0.427,0.911
2024-01-16 08:30,24,0.4,0.617
2024-01-16 09:00,6,0.596,0.991
2024-01-16 09:00,6,0.688,0.971
2024-01-16 09:00,7,0.4,0.919
2024-01-16 09:00,19,0.424,0.992
2024-01-16 09:00,22,0.649,0.9
2024-01-16 09:00,24,0.4,0.98
2024-01-16 09:30,9,0.817,0.972
2024-01-16 09:30,20,0.764,0.959
2024-01-16 09:30,22,0.442,0.926
2024-01-16 09:30,23,0.4,0.889
2024-01-16 10:00,17,0.836,0.97
2024-01-16 10:30,1,0.4,0.969
2024-01-16 10:30,13,0.4,0.944
2024-01-16 10:30,14,0.828,0.954
2024-01-16 10:30,18,0.529,0.981
2024-01-16 11:00,10,0.4,0.949
2024-01-16 11:00,13,0.4,0.943
2024-01-16 11:30,2,0.968,0.332
2024-01-16 11:30,6,0.4,0.895
2024-01-16 11:30,9,0.48,0.938
2024-01-16 11:30,9,0.541,0.96
2024-01-16 11:30,17,0.824,0.975
2024-01-16 11:30,20,0.576,0.915
2024-01-16 11:30,21,0.4,0.974
2024-01-16 11:30,23,0.4,0.966
2024-01-16 11:30,24,0.48,0.976
2024-01-16 11:30,24,0.503,0.939
2024-01-16 12:00,5,0.4,0.927
2024-01-16 12:00,10,0.4,0.577
2024-01-16 12:00,15,0.55,0.969
2024-01-16 12:00,15,0.667,0.936
2024-01-16 12:00,16,0.4,0.982
2024-01-16 12:30,8,0.514,0.631
2024-01-16 12:30,8,0.601,0.935
2024-01-16 12:30,9,0.505,0.959
2024-01-16 12:30,14,0.649,0.968
2024-01-16 12:30,16,0.4,0.98
2024-01-16 13:00,1,0.4,0.954
2024-01-16 13:00,7,0.4,0.387
2024-01-16 13:00,9,0.592,0.962
2024-01-16 13:00,9,0.576,0.923
2024-01-16 13:00,10,0.4,0.872
2024-01-16 13:00,10,0.4,0.944
2024-01-16 13:00,15,0.555,0.921
2024-01-16 13:30,6,0.4,0.938
